doid_code	doid_name	resource	resource_id
DOID:4	disease	MSH	D004194
DOID:4	disease	NCI	C2991
DOID:4	disease	SNOMEDCT_2010_1_31	64572001
DOID:4	disease	UMLS_CUI	C0012634
DOID:630	genetic disease	MSH	D030342
DOID:630	genetic disease	NCI	C3101
DOID:630	genetic disease	SNOMEDCT_2010_1_31	264530000
DOID:630	genetic disease	SNOMEDCT_2010_1_31	32895009
DOID:630	genetic disease	UMLS_CUI	C0019247
DOID:17	musculoskeletal system disease	MSH	D009140
DOID:17	musculoskeletal system disease	SNOMEDCT_2010_1_31	156881000
DOID:17	musculoskeletal system disease	SNOMEDCT_2010_1_31	268047003
DOID:17	musculoskeletal system disease	SNOMEDCT_2010_1_31	268142006
DOID:17	musculoskeletal system disease	SNOMEDCT_2010_1_31	274149006
DOID:17	musculoskeletal system disease	SNOMEDCT_2010_1_31	928000
DOID:17	musculoskeletal system disease	UMLS_CUI	C0026857
DOID:65	connective tissue disease	MSH	D003240
DOID:65	connective tissue disease	NCI	C26729
DOID:65	connective tissue disease	SNOMEDCT_2010_1_31	105969002
DOID:65	connective tissue disease	SNOMEDCT_2010_1_31	201432001
DOID:65	connective tissue disease	SNOMEDCT_2010_1_31	268048008
DOID:65	connective tissue disease	SNOMEDCT_2010_1_31	268126004
DOID:65	connective tissue disease	UMLS_CUI	C0009782
DOID:854	collagen disease	MSH	D003095
DOID:854	collagen disease	NCI	C27204
DOID:854	collagen disease	SNOMEDCT_2010_1_31	156458006
DOID:854	collagen disease	SNOMEDCT_2010_1_31	201434000
DOID:854	collagen disease	SNOMEDCT_2010_1_31	201454004
DOID:854	collagen disease	SNOMEDCT_2010_1_31	268048008
DOID:854	collagen disease	SNOMEDCT_2010_1_31	81573002
DOID:854	collagen disease	UMLS_CUI	C0009326
DOID:13359	Ehlers-Danlos syndrome	ICD9CM	756.83
DOID:13359	Ehlers-Danlos syndrome	MSH	D004535
DOID:13359	Ehlers-Danlos syndrome	NCI	C34568
DOID:13359	Ehlers-Danlos syndrome	OMIM	130070
DOID:13359	Ehlers-Danlos syndrome	OMIM	225400
DOID:13359	Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	157008000
DOID:13359	Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	2300005
DOID:13359	Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	238848002
DOID:13359	Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	268352002
DOID:13359	Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	398114001
DOID:13359	Ehlers-Danlos syndrome	UMLS_CUI	C0013720
DOID:14759	autosomal recessive type IV Ehlers-Danlos syndrome	SNOMEDCT_2010_1_31	70610001
DOID:14759	autosomal recessive type IV Ehlers-Danlos syndrome	UMLS_CUI	C0268340
DOID:0050117	disease by infectious agent	ICD9CM	079.0
DOID:0050117	disease by infectious agent	NCI	C26726
DOID:0050117	disease by infectious agent	UMLS_CUI	C0001485
DOID:1398	parasitic infectious disease	ICD9CM	360.13
DOID:1398	parasitic infectious disease	NCI	C34587
DOID:1398	parasitic infectious disease	SNOMEDCT_2010_1_31	193273005
DOID:1398	parasitic infectious disease	SNOMEDCT_2010_1_31	57100005
DOID:1398	parasitic infectious disease	UMLS_CUI	C0014238
DOID:4110	parasitic ectoparasitic infectious disease	MSH	D004478
DOID:4110	parasitic ectoparasitic infectious disease	UMLS_CUI	C0013578
DOID:11080	myiasis	ICD9CM	134.0
DOID:11080	myiasis	MSH	D009198
DOID:11080	myiasis	SNOMEDCT_2010_1_31	154423006
DOID:11080	myiasis	SNOMEDCT_2010_1_31	187224004
DOID:11080	myiasis	SNOMEDCT_2010_1_31	187547004
DOID:11080	myiasis	SNOMEDCT_2010_1_31	266225001
DOID:11080	myiasis	SNOMEDCT_2010_1_31	60412004
DOID:11080	myiasis	UMLS_CUI	C0027030
DOID:18	urinary system disease	NCI	C27599
DOID:18	urinary system disease	UMLS_CUI	C1335051
DOID:557	kidney disease	EFO	0003086
DOID:557	kidney disease	MSH	D007674
