slim_id	slim_name	subsumed_id	subsumed_name	min_distance	MSH	UMLS	ICD9	ICD10	EFO	EFOpat_id
DOID:0050156	idiopathic pulmonary fibrosis	DOID:0050156	idiopathic pulmonary fibrosis	0	D054990				0000768	
DOID:0050425	restless legs syndrome	DOID:0050425	restless legs syndrome	0	D012148		333.94	G25.8	0004270	
DOID:0050741	alcohol dependence	DOID:0050741	alcohol dependence	0					0003829	
DOID:0050742	nicotine dependence	DOID:0050742	nicotine dependence	0					0003768	
DOID:0060073	lymphatic system cancer	DOID:0060073	lymphatic system cancer	0						
DOID:0060073	lymphatic system cancer	DOID:0060219	lymph node adenoid cystic carcinoma	2						
DOID:0060073	lymphatic system cancer	DOID:10619	lymph node cancer	1		C0596869				
DOID:0060073	lymphatic system cancer	DOID:12972	intrapelvic lymph node leukemic reticuloendotheliosis	2		C0153831	202.46			
DOID:0060073	lymphatic system cancer	DOID:13005	intra-abdominal lymph node mast cell malignancy	2		C0153844	202.63			
DOID:0060073	lymphatic system cancer	DOID:265	spleen angiosarcoma	2		C0346424				
DOID:0060073	lymphatic system cancer	DOID:2689	lymphangiosarcoma	1	D008204	C0024224				
DOID:0060073	lymphatic system cancer	DOID:2689	lymphangiosarcoma	1	D008204	C0346082				
DOID:0060073	lymphatic system cancer	DOID:4334	splenic manifestation of prolymphocytic leukemia	3		C1336066				
DOID:0060073	lymphatic system cancer	DOID:672	spleen cancer	1	D013160	C0037999				
DOID:0060073	lymphatic system cancer	DOID:672	spleen cancer	1	D013160	C0153470				
DOID:0060073	lymphatic system cancer	DOID:709	splenic manifestation of hairy cell leukemia	3		C1336064				
DOID:0060073	lymphatic system cancer	DOID:710	splenic manifestation of leukemia	2		C1336065				
DOID:0060073	lymphatic system cancer	DOID:8304	lymph node palisaded myofibroblastoma	2		C1335295				
DOID:0060073	lymphatic system cancer	DOID:8538	reticulosarcoma	1	D008228	C0024302	200.0			
DOID:0060073	lymphatic system cancer	DOID:8538	reticulosarcoma	1	D008228	C0024302	200.7			
DOID:0060073	lymphatic system cancer	DOID:8675	lymphosarcoma	1	D008228	C0079734	200.1			
DOID:0060119	pharynx cancer	DOID:0050920	tonsil squamous cell carcinoma	3						
DOID:0060119	pharynx cancer	DOID:0050921	pharynx squamous cell carcinoma	1						
DOID:0060119	pharynx cancer	DOID:0060119	pharynx cancer	0						
DOID:0060119	pharynx cancer	DOID:8533	hypopharynx cancer	1	D007012	C0153398	148			
DOID:0060119	pharynx cancer	DOID:8533	hypopharynx cancer	1	D007012	C0153398	148.9			
DOID:0060119	pharynx cancer	DOID:8533	hypopharynx cancer	1	D007012	C0496770	148			
DOID:0060119	pharynx cancer	DOID:8533	hypopharynx cancer	1	D007012	C0496770	148.9			
DOID:0060119	pharynx cancer	DOID:8556	vallecula cancer	2		C0153386	146.3			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153382	146			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153382	146.9			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153388	146			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153388	146.9			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153389	146			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153389	146.9			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153390	146			
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1		C0153390	146.9			
DOID:0060119	pharynx cancer	DOID:8660	postcricoid region cancer	2		C0496769	148.0			
DOID:0060119	pharynx cancer	DOID:8663	aryepiglottic fold cancer	2		C0153401	148.2			
DOID:0060119	pharynx cancer	DOID:8688	tonsillar pillar cancer	2		C0153385	146.2			
DOID:0060119	pharynx cancer	DOID:8858	tonsil cancer	2	D014067	C0751560	146.0			
DOID:0060119	pharynx cancer	DOID:8937	Waldeyer's ring cancer	2		C0153406	149.1			
DOID:0060119	pharynx cancer	DOID:8969	tonsillar fossa cancer	2		C0153384	146.1			
DOID:0060119	pharynx cancer	DOID:9235	pyriform sinus cancer	2		C0153400	148.1			
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153392	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153392	147.9	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153393	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153393	147.9	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153394	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153394	147.9	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153395	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153395	147.9	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153396	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0153396	147.9	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0238301	147	C11		
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1		C0238301	147.9	C11		
DOID:10021	duodenum cancer	DOID:10020	ampulla of Vater cancer	1		C0153454	156.2			
DOID:10021	duodenum cancer	DOID:10021	duodenum cancer	0		C0153426	152.0			
DOID:10021	duodenum cancer	DOID:10021	duodenum cancer	0		C0541912	152.0			
DOID:10021	duodenum cancer	DOID:10816	duodenum adenocarcinoma	1		C0278804				
DOID:10021	duodenum cancer	DOID:3501	ampullary signet ring cell adenocarcinoma	4		C1332249				
DOID:10021	duodenum cancer	DOID:3502	ampulla of Vater adenocarcinoma	3		C1332243				
DOID:10021	duodenum cancer	DOID:3693	ampulla of Vater mucinous adenocarcinoma	4		C1332248				
DOID:10021	duodenum cancer	DOID:4932	ampulla of Vater carcinoma	2		C0262401				
DOID:10021	duodenum cancer	DOID:5308	ampulla of Vater clear cell adenocarcinoma	4		C1332246				
DOID:10021	duodenum cancer	DOID:5527	ampulla of Vater squamous cell carcinoma	3		C1332251				
DOID:10021	duodenum cancer	DOID:5628	ampulla of Vater adenosquamous carcinoma	3		C1332245				
DOID:10021	duodenum cancer	DOID:7136	ampulla of Vater small cell carcinoma	3		C1332250				
DOID:10021	duodenum cancer	DOID:7479	duodenal somatostatinoma	1		C1333320				
DOID:10021	duodenum cancer	DOID:7959	duodenal gastrinoma	1		C1333321				
DOID:10021	duodenum cancer	DOID:8110	periampullary adenocarcinoma	4		C1335377				
DOID:10153	ileum cancer	DOID:10152	Meckel's diverticulum cancer	1		C0153429	152.3			
DOID:10153	ileum cancer	DOID:10153	ileum cancer	0		C0153428	152.2			
DOID:1024	leprosy	DOID:1023	borderline leprosy	1	D015439	C0023346	030.3			
DOID:1024	leprosy	DOID:1024	leprosy	0	D007918	C0023343	030	A30	0001054	
DOID:1024	leprosy	DOID:1024	leprosy	0	D007918	C0023343	030.9	A30	0001054	
DOID:1024	leprosy	DOID:1025	tuberculoid leprosy	1	D015441	C0023351	030.1			
DOID:1024	leprosy	DOID:10887	lepromatous leprosy	1	D015440	C0023348	030.0			
DOID:1024	leprosy	DOID:11851	indeterminate leprosy	1		C0021192	030.2			
DOID:10283	prostate cancer	DOID:10283	prostate cancer	0	C537243	C0033578				
DOID:10283	prostate cancer	DOID:10283	prostate cancer	0	C537243	C0376358				
DOID:10283	prostate cancer	DOID:10283	prostate cancer	0	D011471	C0033578				
DOID:10283	prostate cancer	DOID:10283	prostate cancer	0	D011471	C0376358				
DOID:10283	prostate cancer	DOID:10286	prostate carcinoma	1		C0600139			0001663	
DOID:10283	prostate cancer	DOID:10287	prostate squamous cell carcinoma	2		C1302530				
DOID:10283	prostate cancer	DOID:10289	prostate malignant phyllodes tumor	1	C549759	C1334615				
DOID:10283	prostate cancer	DOID:10290	prostate lymphoma	1		C1335512				
DOID:10283	prostate cancer	DOID:2526	prostate adenocarcinoma	2		C0007112				
DOID:10283	prostate cancer	DOID:2992	prostate neuroendocrine neoplasm	1		C1335515				
DOID:10283	prostate cancer	DOID:3024	prostatic acinar adenocarcinoma	3		C1332139				
DOID:10283	prostate cancer	DOID:3251	prostate embryonal rhabdomyosarcoma	3		C1335508				
DOID:10283	prostate cancer	DOID:3252	prostate rhabdomyosarcoma	2		C1335518				
DOID:10283	prostate cancer	DOID:3504	prostate signet ring cell adenocarcinoma	3		C1335520				
DOID:10283	prostate cancer	DOID:3703	prostate colloid adenocarcinoma	3		C1335513				
DOID:10283	prostate cancer	DOID:4011	prostate transitional cell carcinoma	2		C1335522				
DOID:10283	prostate cancer	DOID:4054	prostate sarcoma	1		C0238393				
DOID:10283	prostate cancer	DOID:4524	prostate angiosarcoma	2		C1335504				
DOID:10283	prostate cancer	DOID:4868	prostate adenoid cystic carcinoma	2		C1335502				
DOID:10283	prostate cancer	DOID:5282	prostate leiomyosarcoma	2		C1335511				
DOID:10283	prostate cancer	DOID:5634	adenosquamous prostate carcinoma	2		C1335503				
DOID:10283	prostate cancer	DOID:7141	prostate small cell carcinoma	2		C1300585				
DOID:10283	prostate cancer	DOID:7152	prostate stromal sarcoma	2		C1335521				
DOID:10283	prostate cancer	DOID:7246	lymphoepithelioma-like acinar prostate adenocarcinoma	3		C1515864				
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0024623	151			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0024623	151.9			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0038356	151			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0038356	151.9			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153421	151			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153421	151.9			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153422	151			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153422	151.9			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153423	151			
DOID:10534	stomach cancer	DOID:10534	stomach cancer	0	D013274	C0153423	151.9			
DOID:10534	stomach cancer	DOID:10536	malignant gastric granular cell tumor	1		C1334585				
DOID:10534	stomach cancer	DOID:10538	gastric fundus cancer	1		C0153420	151.3			
DOID:10534	stomach cancer	DOID:10540	gastric lymphoma	1	C535648	C0349532				
DOID:10534	stomach cancer	DOID:10541	microinvasive gastric cancer	3		C0349530				
DOID:10534	stomach cancer	DOID:10544	pylorus cancer	1		C0153418	151.1			
DOID:10534	stomach cancer	DOID:10547	pyloric antrum cancer	2		C0153419	151.2			
DOID:10534	stomach cancer	DOID:10548	cardia cancer	1		C0153417	151.0			
DOID:10534	stomach cancer	DOID:3716	mucinous stomach adenocarcinoma	4		C1334809				
DOID:10534	stomach cancer	DOID:3717	gastric adenocarcinoma	2		C0278701				
DOID:10534	stomach cancer	DOID:4023	linitis plastica	4	D008039	C0023743				
DOID:10534	stomach cancer	DOID:4716	malignant gastric germ cell tumor	1		C1333769				
DOID:10534	stomach cancer	DOID:5280	gastric leiomyosarcoma	1		C0744295				
DOID:10534	stomach cancer	DOID:5516	gastric squamous cell carcinoma	2		C1333789				
DOID:10534	stomach cancer	DOID:5517	stomach carcinoma	1		C0699791			0000178	
DOID:10534	stomach cancer	DOID:5579	gastric gastrinoma	1		C1333767				
DOID:10534	stomach cancer	DOID:5593	gastric papillary adenocarcinoma	3		C1333785				
DOID:10534	stomach cancer	DOID:5635	gastric adenosquamous carcinoma	2		C1333761				
DOID:10534	stomach cancer	DOID:5700	gastric liposarcoma	1		C1333778				
DOID:10534	stomach cancer	DOID:6217	gastric diffuse adenocarcinoma	3		C0279635				
DOID:10534	stomach cancer	DOID:6217	gastric diffuse adenocarcinoma	3		C0334280				
DOID:10534	stomach cancer	DOID:6270	gastric cardia carcinoma	2		C1333763				
DOID:10534	stomach cancer	DOID:6271	gastric cardia adenocarcinoma	3		C1333762				
DOID:10534	stomach cancer	DOID:6552	gastric small cell carcinoma	2		C1333788				
DOID:10534	stomach cancer	DOID:6595	gastric tubular adenocarcinoma	3		C1333791				
DOID:10534	stomach cancer	DOID:6700	gastric fundus carcinoma	2		C0345799				
DOID:10534	stomach cancer	DOID:6703	gastric pylorus carcinoma	2		C1333787				
DOID:10534	stomach cancer	DOID:6705	gastric body carcinoma	2		C0345804				
DOID:10534	stomach cancer	DOID:6948	malignant gastric teratoma	2		C1334151				
DOID:10534	stomach cancer	DOID:8025	gastric signet ring cell adenocarcinoma	4		C1335965				
DOID:10608	celiac disease	DOID:10608	celiac disease	0	D002446	C0007570	579.0	K90.0	0001060	
DOID:10652	Alzheimer's disease	DOID:10652	Alzheimer's disease	0	C536597	C0002395	331.0	G30	0000249	
DOID:10652	Alzheimer's disease	DOID:10652	Alzheimer's disease	0	D000544	C0002395	331.0	G30	0000249	
DOID:10763	hypertension	DOID:10177	malignant hypertensive renal disease	3		C0155593				
DOID:10763	hypertension	DOID:10590	mild pre-eclampsia	2		C0156664	642.40			
DOID:10763	hypertension	DOID:10591	pre-eclampsia	1	D011225	C0032914	642.4	Q11		
DOID:10763	hypertension	DOID:10591	pre-eclampsia	1	D011225	C0340274	642.4	Q11		
DOID:10763	hypertension	DOID:1073	renal hypertension	2	D006977	C0020544				
DOID:10763	hypertension	DOID:10763	hypertension	0	D006973	C0020538	401-405.99		0000537	
DOID:10763	hypertension	DOID:10763	hypertension	0	D006973	C0020538	997.91		0000537	
DOID:10763	hypertension	DOID:10823	malignant essential hypertension	2		C0024588	401.0			
DOID:10763	hypertension	DOID:10824	malignant hypertension	1	D006974	C0020540				
DOID:10763	hypertension	DOID:10825	essential hypertension	1		C0085580	401	10		
DOID:10763	hypertension	DOID:10825	essential hypertension	1		C0085580	401.9	10		
DOID:10763	hypertension	DOID:10913	benign essential hypertension	2		C0155583	401.1			
DOID:10763	hypertension	DOID:11130	secondary hypertension	1		C0155616	405			
DOID:10763	hypertension	DOID:11130	secondary hypertension	1		C0155616	405.9			
DOID:10763	hypertension	DOID:11516	hypertensive heart disease	1		C0152105	402			
DOID:10763	hypertension	DOID:11516	hypertensive heart disease	1		C0152105	402.9			
DOID:10763	hypertension	DOID:11520	benign hypertensive renal disease	3		C0155596	403.1			
DOID:10763	hypertension	DOID:11520	benign hypertensive renal disease	3		C0155596	403.10			
DOID:10763	hypertension	DOID:11664	nephrosclerosis	3	D009400	C0027719	587			
DOID:10763	hypertension	DOID:13042	persistent fetal circulation syndrome	2	D010547	C0031190	747.83			
DOID:10763	hypertension	DOID:13129	severe pre-eclampsia	2		C0156669	642.50			
DOID:10763	hypertension	DOID:13133	HELLP syndrome	3	D017359	C0162739				
DOID:10763	hypertension	DOID:13143	benign secondary hypertension	2		C0155620	405.1			
DOID:10763	hypertension	DOID:13145	benign renovascular hypertension	3		C0155621	405.11			
DOID:10763	hypertension	DOID:13593	eclampsia	2	D004461	C0013537				
DOID:10763	hypertension	DOID:13730	malignant renovascular hypertension	3		C0155618				
DOID:10763	hypertension	DOID:13731	malignant secondary hypertension	2		C0155617	405.0			
DOID:10763	hypertension	DOID:1591	renovascular hypertension	3	D006978	C0020545				
DOID:10763	hypertension	DOID:5453	pulmonary venoocclusive disease	2	D011668	C0034091				
